title,rating,body,review_text,cleaned_text
Horrible product,1,Very disappointed with the overall performance from Samsung,Horrible product Very disappointed with the overall performance from Samsung,"Counter({'horrible': 1, 'product': 1, 'very': 1, 'disappointed': 1, 'with': 1, 'the': 1, 'overall': 1, 'performance': 1, 'from': 1, 'samsung': 1})"
Camera quality is not like 48 megapixel,3,Camera quality is low,Camera quality is not like 48 megapixel Camera quality is low,"Counter({'camera': 2, 'quality': 2, 'is': 2, 'not': 1, 'like': 1, '48': 1, 'megapixel': 1, 'low': 1})"
Overall,4,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying","Overall Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying","Counter({'the': 4, 'is': 4, 'mobile': 3, 'this': 3, 'just': 2, 'u': 2, 'buying': 2, 'for': 2, 's': 2, 'in': 2, 'overall': 1, 'got': 1, 'on': 1, 'launch': 1, 'date': 1, 'battery': 1, 'must': 1, 'be': 1, 'appreciatedcamera': 1, 'averagemobile': 1, 'performance': 1, 'above': 1, 'average90hz': 1, 'refresh': 1, 'rate': 1, 'if': 1, 'r': 1, 'feature': 1, 'then': 1, 'i': 1, 'm': 1, 'afraid': 1, 'may': 1, 'get': 1, 'disappointed': 1, 'it': 1, 'normal': 1, 'usb': 1, 'cable': 1, 'too': 1, 'small': 1, 'lengthit': 1, 'a': 1, 'good': 1, 'budget': 1, 'there': 1, 'are': 1, 'no': 1, 'returns': 1, 'only': 1, 'replacement': 1, 'available': 1, 'hence': 1, 'choose': 1, 'wisely': 1, 'before': 1})"
A big no from me,1,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.","A big no from me 1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.","Counter({'a': 3, 't': 3, 'you': 3, 'no': 2, 'with': 2, '2': 2, 'is': 2, 'very': 2, 'didn': 2, 'to': 2, 'the': 2, 'big': 1, 'from': 1, 'me': 1, '1': 1, 'it': 1, 'doesn': 1, 'work': 1, '5': 1, '0ghz': 1, 'wifi': 1, 'frequency': 1, '4ghz': 1, 'old': 1, 'school': 1, 'camera': 1, 'quality': 1, 'pathetic': 1, 'both': 1, 'front': 1, 'and': 1, 'back': 1, 'forget': 1, 'about': 1, '48mp': 1, 'pictures': 1, 'are': 1, 'all': 1, 'blur': 1, 'poorer': 1, 'than': 1, '4mp': 1, 'one': 1, '3': 1, 'amazon': 1, 'allow': 1, 'write': 1, 'review': 1, 'until': 1, 'they': 1, 'sold': 1, 'most': 1, 'of': 1, 'stock': 1, 'something': 1, 'fishy': 1, '4': 1, 'return': 1, 'policy': 1, 'will': 1, 'have': 1, 'live': 1, 'phone': 1, 'like': 1, 'now': 1, 'decide': 1})"
Put your money somewhere else,1,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE","Put your money somewhere else Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE","Counter({'band': 2, 'wifi': 2, 'put': 1, 'your': 1, 'money': 1, 'somewhere': 1, 'else': 1, 'not': 1, 'worth': 1, 'buying': 1, 'faulty': 1, 'software': 1, 'poor': 1, 'display': 1, 'quality': 1, 'single': 1, 'doesn': 1, 't': 1, 'support': 1, '5ghz': 1, 'gyro': 1, 'sensor': 1, 'missing': 1, 'and': 1, 'many': 1, 'more': 1, 'dont': 1, 'go': 1, 'by': 1, 'paid': 1, 'reviews': 1, 'in': 1, 'you': 1, 'tube': 1})"
Too much lagging and slow,1,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,Too much lagging and slow I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,"Counter({'too': 2, 'much': 2, 'lagging': 2, 'and': 2, 'slow': 2, 'i': 1, 'will': 1, 'never': 1, 'purchase': 1, 'samsung': 1, 'phones': 1, 'phone': 1, 'is': 1, 'waste': 1, 'of': 1, 'hard': 1, 'earning': 1, 'money': 1})"
Worst samsung mobile ever,1,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,Worst samsung mobile ever This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,"Counter({'samsung': 3, 'worst': 2, 'mobile': 2, 'ever': 2, 'this': 2, 'it': 2, 's': 2, 'quality': 2, 'is': 1, 'i': 1, 'have': 1, 'seen': 1, 'from': 1, 'sceen': 1, 'and': 1, 'colors': 1, 'are': 1, 'trash': 1, 'even': 1, 'a': 1, 'old': 1, '5000': 1, 'rs': 1, 'phone': 1, 'can': 1, 'beat': 1, 'please': 1, 'never': 1, 'buy': 1, 'product': 1})"
कैसा दिखाते है उसका 10 % भी नही,1,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका 10 % भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,"Counter({'क': 7, 'ह': 4, 'भ': 4, 'नह': 4, 'द': 3, 'म': 3, 'ब': 3, 'ल': 3, 'स': 2, 'इल': 2, 'प': 2, 'ख': 1, 'त': 1, 'उसक': 1, '10': 1, 'मर': 1, 'सह': 1, '48': 1, 'pm': 1, 'बत': 1, 'य': 1, 'और': 1, 'यर': 1, 'ट': 1, '5': 1, 'ग': 1, 'सल': 1, 'र': 1, 'न': 1, 'खत': 1, 'इसक': 1, 'खर': 1})"
Slow performance,1,The phone hangs a lot and is very slow. I received a replacement which continues to hang,Slow performance The phone hangs a lot and is very slow. I received a replacement which continues to hang,"Counter({'slow': 2, 'a': 2, 'performance': 1, 'the': 1, 'phone': 1, 'hangs': 1, 'lot': 1, 'and': 1, 'is': 1, 'very': 1, 'i': 1, 'received': 1, 'replacement': 1, 'which': 1, 'continues': 1, 'to': 1, 'hang': 1})"
Don’t buy from Amazon.,1,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,Don’t buy from Amazon. Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,"Counter({'amazon': 4, 'don': 2, 't': 2, 'buy': 2, 'from': 2, 'very': 2, 'poor': 1, 'quality': 1, 'camera': 1, 'found': 1, 'box': 1, 'seal': 1, 'damage': 1, 'still': 1, 'not': 1, 'taking': 1, 'it': 1, 'back': 1, 'waste': 1, 'of': 1, 'money': 1, 'phone': 1, 'slow': 1, 'now': 1, 'started': 1, 'cheating': 1, 'customers': 1, 'to': 1, 'make': 1, 'profits': 1})"
